model,split,abs_rel,sq_rel,rms,log_rms,d1_all,d1,d2,d3
output/fcrn/kitticontinuous/valid_px/berhu/2018-07-27_20-32-56/restore/model.fcrn,eigen_continuous,0.08704836,0.37916735,2.871272,0.15155347,0.0,0.7980346,0.8861894,0.9056675
output/fcrn/kitticontinuous/all_px/berhu/2018-07-22_22-22-01/restore/model.fcrn,eigen_continuous,0.093026884,0.50082165,3.5618036,0.48176643,0.0,0.79096484,0.8789537,0.8991109
output/fcrn/kitticontinuous/all_px/berhu/2018-07-11_13-16-54/restore/model.fcrn,eigen_continuous,0.09975006,0.61361057,3.97283,0.65864617,0.0,0.78593314,0.8721176,0.89375967
output/fcrn/kitticontinuous/valid_px/mse/2018-08-03_22-14-03/restore/model.fcrn,eigen_continuous,0.10508791,0.42445984,3.1187427,0.16504514,0.0,0.77582324,0.8788171,0.90509635
output/fcrn/kitticontinuous/all_px/mse/2018-08-02_00-51-48/restore/model.fcrn,eigen_continuous,0.110142075,0.48895144,3.3001442,0.2972886,0.0,0.7733408,0.8724191,0.8981345
output/fcrn/kitticontinuous/all_px/mse/2018-06-29_13-52-58/restore/model.fcrn,eigen_continuous,0.11014795,0.48005167,3.2744968,0.31076658,0.0,0.7737206,0.87250245,0.8981006
output/fcrn/kitticontinuous/all_px/berhu/2018-08-07_19-48-23/restore/model.fcrn,eigen_continuous,0.11829763,0.69743454,4.2726965,0.6364391,0.0,0.75658286,0.8650899,0.89126
output/fcrn/kitticontinuous/valid_px/eigen_grads/2018-07-30_10-49-02/restore/model.fcrn,eigen_continuous,0.12401091,0.65328056,4.176414,0.19728598,0.0,0.73321927,0.86160535,0.89833856
output/fcrn/kitticontinuous/valid_px/eigen_grads/2018-07-31_09-30-16/restore/model.fcrn,eigen_continuous,0.12504356,0.65504736,4.184683,0.19811474,0.0,0.73183024,0.8619974,0.8983713
output/fcrn/kitticontinuous/all_px/berhu/2018-08-06_20-15-06/restore/model.fcrn,eigen_continuous,0.12610751,0.723894,4.303717,0.6696542,0.0,0.7484236,0.86116683,0.8900974
output/fcrn/kitticontinuous/valid_px/eigen/2018-07-30_01-30-18/restore/model.fcrn,eigen_continuous,0.12886998,0.7111672,4.4764395,0.20169328,0.0,0.7189452,0.8562379,0.89687705
output/fcrn/kitticontinuous/valid_px/mse/2018-08-03_13-44-09/restore/model.fcrn,eigen_continuous,0.13647315,0.604047,3.4955873,0.1896344,0.0,0.736288,0.8646335,0.89955485
output/fcrn/kitticontinuous_city/all_px/berhu/2018-08-03_22-14-10/restore/model.fcrn,eigen_continuous,0.14497867,1.0996798,4.5487103,0.7170335,0.0,0.7271463,0.83726346,0.87527776
output/fcrn/kitticontinuous_city/all_px/eigen/2018-08-02_19-54-56/restore/model.fcrn,eigen_continuous,0.18072763,1.4131341,6.0881357,0.48600212,0.0,0.65944046,0.8067123,0.8583017
output/fcrn/kittidepth/valid_px/berhu/2018-07-13_15-06-16/restore/model.fcrn,eigen_continuous,0.195843,1.4171311,4.0404444,0.23629099,0.0,0.7180239,0.84192175,0.88380545
output/fcrn/kittidiscrete/valid_px/berhu/2018-07-16_15-53-40/restore/model.fcrn,eigen_continuous,0.20098558,1.5250863,4.3158817,0.24485639,0.0,0.71545005,0.83359534,0.87875426
output/fcrn/kittidiscrete/valid_px/berhu/2018-07-12_18-33-06/restore/model.fcrn,eigen_continuous,0.20240612,1.5489708,4.3267875,0.24557403,0.0,0.71530277,0.8339052,0.87903184
output/fcrn/kitticontinuous/all_px/berhu/2018-06-29_17-59-58/restore/model.fcrn,eigen_continuous,0.21057725,2.1008112,8.042841,0.57839304,0.0,0.5193687,0.72448045,0.8196389
output/fcrn/kittidepth/valid_px/berhu/2018-07-12_10-58-40/restore/model.fcrn,eigen_continuous,0.22439688,1.5833725,4.37567,0.25824675,0.0,0.6697602,0.8219894,0.8740322
output/fcrn/kittidepth/valid_px/berhu/2018-07-12_10-58-40/restore/model.fcrn,eigen_continuous,0.22439688,1.5833726,4.37567,0.25824675,0.0,0.6697602,0.8219894,0.87403226
output/fcrn/kittidepth/valid_px/berhu/2018-07-06_18-07-11/restore/model.fcrn,eigen_continuous,0.30813992,2.5687184,5.5913424,0.32930684,0.0,0.5595217,0.7449538,0.83284134
output/fcrn/kittidepth/valid_px/berhu/2018-07-10_14-01-13/restore/model.fcrn,eigen_continuous,0.5642485,4.6768317,9.523428,1.0990262,0.0,0.021169985,0.08115382,0.19485553
output/fcrn/kittidepth/valid_px/berhu/2018-08-10_16-38-05/restore/model.fcrn,eigen_continuous,0.6291777,5.6016703,10.376538,1.3839654,0.0,0.0070508025,0.06270685,0.15739083
output/fcrn/kittidepth/all_px/berhu/2018-07-24_12-48-33/restore/model.fcrn,eigen_continuous,0.6945404,6.7813973,11.345807,4.0726233,0.0,0.0062817363,0.054216348,0.13766305
output/fcrn/kittidepth/all_px/berhu/2018-07-19_13-38-29/restore/model.fcrn,eigen_continuous,0.6953854,6.7934856,11.356377,4.085937,0.0,0.0064853574,0.05554151,0.13868672
output/fcrn/kittidepth/all_px/berhu/2018-07-18_15-16-56/restore/model.fcrn,eigen_continuous,0.7028688,6.917782,11.46061,4.1247025,0.0,0.0050680405,0.050612263,0.12898557
output/fcrn/kittidiscrete/all_px/berhu/2018-07-19_10-18-17/restore/model.fcrn,eigen_continuous,0.8612159,10.136832,13.879752,3.8455358,0.0,1.4375212e-05,6.189079e-05,0.00019368957
output/fcrn/kittidiscrete/all_px/eigen_grads/2018-07-06_18-32-27/restore/model.fcrn,eigen_continuous,0.8961133,11.173603,14.595662,3.9773784,0.0,0.0,0.0,4.405648e-08
output/fcrn/kittidiscrete/all_px/eigen_grads/2018-07-17_10-51-47/restore/model.fcrn,eigen_continuous,0.8998725,11.238481,14.637848,4.3647537,0.0,0.0,1.0594284e-08,4.7674277e-08
